,TS5b,TS5c,TS5d,TS8b,TS9b,TS9d,TS6a,TS6b,TS6c,TS6d,TS6e,TS6f,TS7a,TS7c,TS7e,TS7f,TS7g,TS7h,TS8a,TS8d,TS8J,TS8K,TS8L
TRINITY_DN17855_c0_g1,49.032,53.231,48.408,52.303,52.649,55.15,48.617,52.214,46.789,33.854,54.795,50.236,42.452,59.694,38.775,43.562,37.83,31.504,34.147,27.893,16.944,28.327,12.361
TRINITY_DN17860_c0_g3,1.192,0.235,0.225,0.307,0.034,0.798,0.64,0.573,0.35,4.577,0.572,0.757,0.239,0.337,0.351,0.672,2.479,2.201,2.306,3.453,6.008,2.187,4.237
TRINITY_DN17861_c0_g1,189.665,78.538,82.123,135.158,70.409,153.557,51.389,137.696,152.182,342.424,96.745,95.389,58.189,111.51,80.197,71.875,649.344,482.913,290.921,305.818,722.285,448.762,473.361
TRINITY_DN17869_c0_g1,5.665,4.677,3.315,13.278,4.786,10.993,1.342,1.351,4.271,10.281,0.989,1.557,2.943,4.959,2.597,2.364,5.735,6.449,35.729,24.782,55.124,10.375,149.232
TRINITY_DN17873_c0_g1,0.467,0.156,0.354,0.325,0,2.638,0.412,0.915,0.586,0,0.708,0.825,0.246,0.378,0.31,0,0,0,2.223,0,0,0,0
TRINITY_DN17873_c0_g2,0.779,2.199,1.239,0.548,0.982,1.051,0.614,0.18,0,0,1.397,0.623,0.732,0.617,1.013,1.145,0,0.337,0.186,0,0,0.097,0
TRINITY_DN17873_c1_g1,0.862,1.947,1.062,0.966,1.058,0.723,0.342,0.855,0.481,0.119,2.087,1.767,0.847,2.352,1.96,0.199,0,0,7.901,0,0,0,0
TRINITY_DN17873_c1_g2,0.862,0,0,0,1.503,0,1.36,0,0,0.119,2.322,0,0,0,0.784,0.39,0,0,0.434,0,0,0,0
TRINITY_DN17878_c0_g3,0.137,0.548,0,0.938,0.059,0.357,3.623,0,0.691,1.658,0.191,0,0.886,0,0.253,0.514,0,0.505,0.652,1.367,0.99,1.239,1.215
TRINITY_DN1788_c0_g1,0.532,0,0,0.669,0.294,0,0.193,0,0.166,0.199,0.78,0.185,0.293,0,0,0.307,0,0,1.427,0,0,0,0
TRINITY_DN1788_c0_g2,0,0.722,0.274,0,1.478,3.886,0.386,0.445,0,0.199,0.78,2.524,0,0.724,0.817,0,0,0.091,4.147,0,0,0,0
TRINITY_DN17880_c0_g1,2.172,0.93,0.563,0.53,0.353,3.717,0.895,1.094,2.669,0.066,3.484,1.876,1.225,1.036,0.58,1.219,1.594,0.104,8.718,2.104,0.384,0.418,2.384
TRINITY_DN17882_c0_g1,0.183,0.591,0.217,1.803,0.378,2.826,1.351,0.274,0.604,1.87,1.352,0.252,0.755,0.502,0.564,0.39,4.25,0,5.109,2.788,9.946,0.557,9.309
TRINITY_DN17884_c0_g1,0.422,0,0.113,0,0,0,0.526,0.197,0,0,0.581,0,0,0.222,0,0,0.586,0,0,0,0,0,6.834
TRINITY_DN17884_c0_g2,0,0.348,0,0.762,0.269,0.958,0.351,0.197,0.368,3.369,0.581,0.589,0.47,0.066,0.433,0.274,1.798,1.709,3.537,4.73,4.463,1.852,0
TRINITY_DN17896_c0_g1,1.476,1.304,1.279,0.53,0.302,3.295,2.132,0,1.19,7.442,1.878,1.313,0,0.518,0.441,0.846,11.593,3.444,10.331,9.388,9.239,5.25,20.152
TRINITY_DN17896_c0_g2,3.474,2.226,0.909,4.311,2.091,5.445,2.632,4.865,4.534,20.031,7.584,4.603,3.412,4.367,3.136,2.671,16.974,18.348,19.7,25.753,19.802,9.902,31.237
TRINITY_DN179_c0_g1,1.182,1,0.378,1.412,1.427,2.6,1.105,0.128,1.295,1.937,2.068,1.094,0.454,1.143,0.694,0.639,0.436,8.158,8.656,6.852,12.511,5.278,12.073
TRINITY_DN17903_c0_g1,0.449,0,0.032,0,0,0.779,0.482,0.077,0.184,0.385,0.735,0.37,0.154,0.23,0,0,1.158,1.01,0.558,1.619,1.797,0,1.321
TRINITY_DN17903_c0_g2,0,0.261,0.121,0.158,0.395,0,0.272,0.077,0.201,0.371,0,0,0.154,0.156,0.408,0.199,1.144,0,0.703,2.859,3.847,1.518,2.232
TRINITY_DN17907_c0_g1,54.156,44.563,51.788,50.714,56.294,57.826,53.46,53.437,63.068,46.085,61.645,51.128,55.524,55.804,55.28,62.136,40.991,51.795,33.94,24.62,38.675,38.856,27.122
TRINITY_DN17909_c0_g1,1.091,0.687,0.362,0.688,1.352,0.854,0.658,1.009,0.516,1.552,0.771,0.446,0.994,1.053,0.613,0.63,1.607,0.958,1.293,1.223,1.646,1.1,2.141
TRINITY_DN17910_c0_g1,0,0,0.056,0.437,0.134,0.263,0.342,0.06,0.263,0.08,0.417,1.397,0.085,0.107,0.147,0,0,0,0.703,0,0,0,0
TRINITY_DN17910_c0_g2,1.274,0.243,0.933,0.279,1.26,0.779,0.605,0.376,0.578,0,0.508,0.841,0.701,0.543,0.506,0.514,0,0,0.683,0.504,0,0,0
TRINITY_DN17911_c0_g1,0.467,0.313,0.595,0.706,0.445,0.629,0.57,0.154,0.481,0.358,0.807,0.589,0.316,0.444,0.564,0.423,0.49,0.544,1.82,0.953,0.515,0.557,1.078
TRINITY_DN17913_c0_g1,2.191,2.678,1.988,1.83,2.267,1.868,0.991,1.154,1.295,1.207,3.484,3.761,1.448,2.632,1.086,1.037,0.531,0.505,5.171,1.726,1.636,0.487,3.037
TRINITY_DN17914_c0_g1,3.392,1.582,1.601,4.246,3.93,6.243,3.465,2.36,2.801,9.75,9.87,6.05,3.99,5.518,3.144,3.343,17.9,8.339,49.452,18.11,38.998,13.801,41.868
TRINITY_DN17914_c0_g2,2.072,1.408,0.37,1.645,1.713,2.347,1.176,1.274,1.943,6.938,2.767,0.446,0.786,1.299,1.331,1.219,8.364,5.076,11.675,5.071,12.057,7.005,13.44
TRINITY_DN17915_c0_g1,0.816,0.452,0.322,0.901,0.495,1.239,0.64,0.778,0.525,3.688,2.558,1.977,0.709,0.773,0.858,0.481,3.242,1.826,3.702,4.568,5.019,2.075,4.601
TRINITY_DN17925_c0_g1,0.073,0,0,0.149,0.193,0.244,0.36,0.308,0,1.061,0.644,0.143,0.062,0,0.18,0.265,0,0.246,0.972,0.162,1.353,0.153,0.699
TRINITY_DN17925_c0_g2,0,0,0,0,0,0,0.746,0,0,0.504,0,0,0,0,0,0,0.695,0,0,2.05,0,0.348,0
TRINITY_DN17928_c0_g1,0.651,0.8,0.451,1.375,0.613,1.136,1.009,1.146,0.613,9.777,1.814,1.582,0.339,0.888,0.751,0.697,2.725,3.496,10.734,14.028,5.816,5.139,10.19
TRINITY_DN17928_c1_g1,1.063,0.556,0.652,1.357,0.504,1.708,1.246,0.607,0.788,5.771,2.749,1.961,0.57,0.97,0.237,0.713,6.212,3.004,9.349,12.157,4.807,5.167,12.954
TRINITY_DN17931_c0_g1,1.045,1.461,0.7,0.558,0.437,1.68,1.228,1.043,1.75,3.927,0.898,0.345,0.185,0.271,0.572,0.705,3.978,1.839,1.779,1.277,2.716,2.312,2.718
TRINITY_DN17932_c0_g1,0,0.139,0.266,0.325,0,0.826,3.044,0,0.481,2.52,1.833,1.119,0.354,0.863,0.988,0.075,18.936,3.509,3.619,23.883,1.969,4.359,5.285
TRINITY_DN17935_c0_g1,123.079,132.333,109.868,126.498,121.22,156.355,161.493,153.292,130.284,106.297,133.042,146.811,130.436,116.863,127.988,135.779,117.987,112.771,106.36,96.736,87.81,104.367,131.586
TRINITY_DN17936_c0_g2,598.366,653.791,503.86,630.166,618.618,556.6,626.373,635.875,634.309,729.766,608.663,540.4,556.831,534.845,530.622,679.582,945.666,844.716,585.638,631.545,611.047,677.76,884.262
TRINITY_DN17937_c0_g1,0.275,1.574,0,1.236,0,0.272,0.561,0,0.263,0,0.354,0.025,0.547,0.206,0.727,0.307,0,0.052,0,0.216,0,0,0
TRINITY_DN17941_c0_g1,1.082,0.765,0.595,0.836,0.479,1.324,0.702,0.513,0.945,2.932,1.17,0.623,0.316,0.419,0.49,0.44,1.539,1.282,5.957,3.381,7.472,1.629,8.929
TRINITY_DN17950_c0_g1,1.137,1.043,0.499,0.604,2.141,0.169,1.325,0.325,0.455,3.754,0.445,3.913,0.532,0,0,0,0,1.036,16.774,16.491,0.212,2.563,11.131
TRINITY_DN17958_c0_g3,0.907,0.913,0.909,0.864,0.949,1.192,2.07,0.231,1.225,3.224,1.551,0,1.155,2.081,1.903,0.63,6.294,0.971,7.611,7.751,17.51,3.983,9.324
TRINITY_DN17959_c0_g1,51.094,63.15,72.781,68.768,58.225,65.598,56.767,71.452,92.501,57.984,49.824,59.037,66.547,57.564,52.21,53.956,36.386,50.708,39.338,38.18,53.246,77.753,30.417
TRINITY_DN17967_c0_g1,4.858,2.808,2.269,5.835,2.368,6.9,1.526,1.727,3.221,10.228,3.402,2.02,1.533,6.817,1.723,1.535,7.656,10.255,28.428,27.03,25.012,16.406,71.89
TRINITY_DN1797_c0_g1,0,0,0,0.409,0.076,0.028,2.307,0,3.107,0.133,8.755,0,0,0.609,0.89,1.825,0,0,0,0,2.888,0,0
TRINITY_DN1797_c0_g2,0,0,0,0,0,0,0.421,0,0,0,0,0.025,0,0,0,0,0,0,0.041,0.054,0,0,0.076
TRINITY_DN17973_c0_g1,0,0,0,0,0,0,0.412,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN17973_c0_g2,0,0,0,0,0,0,0.175,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN17975_c0_g1,0.33,0.443,0.137,0,0,0.732,0.579,0.368,0.788,0,0.599,0,0.162,0.238,0,0.29,2.343,0,0,4.19,1.252,0.724,6.773
TRINITY_DN17975_c0_g2,0.852,0.348,0.137,1.403,0.327,1.117,0.465,0.385,0,3.157,0.717,0.774,0.162,0.123,0.58,0.813,0.395,2.408,4.891,1.637,3.403,1.629,0
TRINITY_DN17977_c0_g1,1.687,4.095,3.026,2.072,5.601,9.35,2.448,2.334,3.037,0,17.79,3.98,4.067,5.312,3.863,1.999,0,0.142,6.122,0.647,0.343,0,0
TRINITY_DN17978_c0_g1,1.155,0.687,0.644,1.004,0.47,1.53,0.526,0.829,0.936,3.913,1.207,0.993,0.501,0.699,0.506,0.689,5.068,4.48,6.339,7.391,6.866,2.925,12.088
TRINITY_DN17983_c0_g1,93.884,100.141,109.289,106.539,86.674,135.027,117.999,99.008,111.213,67.535,100.89,78.534,77.038,96.264,82.434,112.227,103.806,105.714,48.418,48.845,39.2,65.929,38.375
TRINITY_DN17990_c0_g1,1.842,0.817,1.971,3.066,0.353,1.793,1.307,1.257,1.024,1.353,0.853,0.387,0.485,0.691,3.152,0.647,1.676,1.8,3.754,2.859,1.575,4.15,5.133
TRINITY_DN17994_c0_g1,286.987,331.451,298.077,368.548,316.501,337.463,318.775,307.694,309.125,279.466,301.819,298.528,277.248,293.594,282.788,319.142,330.53,310.577,225.419,222.57,275.791,310.832,185.678
TRINITY_DN17996_c0_g1,0.797,0.487,0.7,1.31,0.42,1.493,0.983,0.402,0.936,0.146,1.388,1.574,0.331,1.184,0.31,0.083,0,0,1.262,0,0,0,0
TRINITY_DN17999_c0_g1,50.81,51.37,42.566,61.307,66.311,65.833,61.609,56.515,53.712,52.452,52.682,48.931,53.683,60.294,48.78,54.404,47.271,45.049,31.541,33.666,35.14,53.145,31.055
TRINITY_DN17999_c0_g2,0,9.78,0,0,7.515,0,0.412,0,0,0,0,4.923,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18003_c0_g1,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18003_c0_g2,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18007_c0_g1,3.126,2.06,0.974,1.208,1.15,2.375,1.105,1.462,2.722,7.415,2.159,1.935,0.732,1.382,1.535,1.435,8.092,4.558,9.69,7.284,17.52,5.933,19.301
TRINITY_DN18010_c0_g1,0.522,0.582,0.225,0.223,0.235,0.516,0.588,0.282,0.446,0.623,0.218,0.572,0.239,0.732,0.441,0.207,1.281,0.712,0.6,0.809,1.222,0.655,2.293
TRINITY_DN18012_c0_g1,0.587,0.13,0.04,0.251,0.176,0.235,0.57,0,0.35,2.122,0.499,0.244,0.092,0.148,0.082,0.506,1.444,1.502,0.982,1.367,2.464,1.866,2.946
TRINITY_DN18014_c0_g1,0.532,0.548,0.169,0.381,0.714,0.958,1.184,0.727,0.254,3.104,1.905,0.395,0.516,0.222,0.433,0.141,1.212,0.35,2.906,0.737,6.18,1.239,8.519
TRINITY_DN18018_c0_g1,2.539,1.217,0.66,1.375,1.117,3.473,1.395,1.872,0.945,8.318,2.939,2.003,0.739,1.924,1.209,1.219,10.667,7.161,11.624,15.682,12.774,10.765,16.674
TRINITY_DN18021_c0_g1,0.33,0.096,0.08,0.084,0.235,0.263,0.588,0.128,0.263,1.592,0.535,0.177,0.054,0.23,0.123,0.1,0.817,0.505,1.386,1.583,1.808,0.78,1.185
TRINITY_DN18027_c0_g1,11.339,8.911,8.867,7.303,6.256,5.229,9.132,8.293,10.669,4.789,4.391,4.805,6.894,7.442,5.039,5.591,3.324,4.208,4.25,6.025,4.16,4.122,3.068
TRINITY_DN18029_c0_g2,1.082,3.321,1.054,0.836,2.183,1.23,0.474,0.513,0.184,0.093,2.549,1.59,0.424,1.16,2.254,3.501,0,0.065,2.41,0,0,0,0.152
TRINITY_DN1803_c0_g1,0.156,0,0,0.149,0,0.169,0.386,0.308,0,0.226,0.572,0.143,0.254,0.14,0,0.265,1.022,0.997,1.51,1.565,1.04,1.142,3.478
TRINITY_DN18031_c0_g1,1.027,0.626,0.209,0.855,0.537,0.901,0.474,0.41,0.656,3.688,0.826,0.9,0.139,0.609,0.466,0.539,3.106,2.732,6.918,6.222,3.544,3.273,8.671
TRINITY_DN18034_c0_g1,4.281,3.269,1.955,1.923,2.158,3.999,1.026,0.445,1.085,3.913,0.662,0.084,0.223,0,0.408,0.456,1.335,0.285,9.855,16.527,14.632,6.281,25.892
TRINITY_DN18039_c0_g2,0.165,0.652,0.467,0.297,0.949,0.704,0.553,0.231,0.35,0.066,1.134,0.48,0.316,0.666,0.31,0.307,0.041,0,1.324,0,0,0.153,0
TRINITY_DN18058_c0_g1,3.016,0.922,1.207,0.715,0.638,1.211,0.667,2.574,2.503,2.043,1.433,1.708,0.154,0.493,0.833,1.477,7.424,7.07,7.353,6.798,14.844,4.707,7.76
TRINITY_DN18064_c0_g2,0.082,0,0,0,0,0,3.93,0,0.053,0,0.209,0.261,0.023,0.025,0.278,0.149,0,0.181,0,0,0,0,0.395
TRINITY_DN18064_c0_g4,0,0,0,0,0,0,2.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18066_c0_g1,0.972,0.409,0.217,0.53,0.059,1.051,0.614,0.889,0.691,6.328,1.207,0.816,0.778,0.88,0.327,0.44,3.052,2.15,6.339,5.557,17.106,2.284,16.021
TRINITY_DN18066_c0_g2,0.147,0.339,0.113,0,0.118,0.751,0.368,0.445,0.175,0.822,0.227,0.614,0.154,0.436,0.057,0.224,1.294,0.945,2.296,2.356,1.757,0.599,4.1
TRINITY_DN18075_c0_g1,1.54,1.156,0.193,0.13,0.034,0.366,0.754,0.898,0.613,1.579,0.318,0.547,0.316,0.896,0.155,0.382,4.782,6.293,2.802,4.694,1.646,6.699,12.27
TRINITY_DN18086_c0_g1,0.376,0.148,0.145,0.706,0.311,0.394,0.614,0.214,0.473,2.454,0.853,0.177,0.308,0.855,0.286,0.315,1.226,1.891,0.776,3.867,0.252,5.139,7.456
TRINITY_DN18086_c0_g2,0.192,0.148,0.145,0,0,0,0.921,0.53,0.236,2.719,0,0,0.154,0.337,0,0.315,1.539,2.085,0,8.363,0.495,5.612,0
TRINITY_DN18089_c0_g1,0.642,0.435,0.837,2.221,3.258,4.844,2.088,0.359,1.925,0.849,2.948,1.203,1.24,0.863,0.531,0.199,0,2.162,3.847,5.269,3.181,0,6.53
TRINITY_DN18089_c0_g2,2.136,2.695,3.669,1.933,18.398,4.647,3.597,1.026,4.752,1.021,5.96,2.306,4.429,2.903,2.777,3.169,1.539,1.36,11.437,6.007,2.181,3.078,2.976
TRINITY_DN18089_c0_g3,1.952,1.408,0.917,8.465,2.057,6.965,0.921,1.667,3.046,0.849,11.422,13.278,0.493,0.51,1.854,0.423,0,1.709,4.819,4.352,7.684,0.919,2.855
TRINITY_DN1809_c0_g1,0.834,0.791,0.459,0.604,0.05,0.554,0.579,0.385,0.123,1.698,0.535,0.118,0,0,0.196,0.166,1.076,0.829,0.176,1.978,0.959,1.031,4.708
TRINITY_DN1810_c0_g1,1.842,1.182,0.426,1.961,0.563,0.986,0.79,1.043,1.462,1.605,0.853,0.841,0.154,1.217,1.282,0.489,8.896,3.626,2.079,2.77,4.726,0.961,5.133
TRINITY_DN18100_c0_g1,0,0.156,0.089,0.074,0,1.098,0.5,0,0,0.889,0,0.126,0,0.033,0,0,0,0.078,0.527,0.126,3.181,0.334,0.091
TRINITY_DN18100_c1_g1,0,0,0,0,0,0,0.649,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18109_c0_g1,1.824,1.104,0.354,1.607,2.082,2.544,1.869,1.479,2.144,3.648,4.409,4.334,0.662,2.903,0.784,1.078,8.296,4.131,13.32,8.291,19.055,4.763,11.01
TRINITY_DN18118_c0_g1,0,0,0,0,0,0,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18132_c0_g1,1.879,1.104,1.062,1.57,1.436,1.633,1.026,0.769,1.05,5.081,1.669,1.069,0.793,1.266,1.184,1.585,4.073,3.47,7.756,10.431,11.865,3.927,14.7
TRINITY_DN18136_c0_g1,3.942,0.635,0.797,1.227,0.294,1.145,0.316,0.239,0.499,1.3,0.027,0.328,0.046,0.271,0.139,0.05,0.095,0.22,2.503,2.23,1.202,0.292,2.035
TRINITY_DN18136_c0_g2,0.339,0,0,0,0,0,0.316,0,0,0,0.027,0,0,0.271,0.139,0.05,0.095,0.22,0,0,0,0,0.41
TRINITY_DN1814_c0_g1,0,0,0,0,0,0,1.053,0,0.464,1.804,0,0,0,0,0,0,0.041,0,0,0.665,0,0,41.442
TRINITY_DN18149_c0_g1,18.562,7.416,7.049,10.295,7.935,26.998,7.948,13.346,8.367,83.255,18.607,10.51,6.717,9.712,7.718,11.871,78.74,86.343,55.481,100.531,83.297,117.041,128.017
TRINITY_DN18154_c0_g1,0.449,0.774,0.378,0.492,0.16,0.835,0.57,0.453,0.481,1.512,0.689,0.463,0.185,0.617,0.302,0.448,1.226,1.424,2.554,2.23,2.837,1.086,4.799
TRINITY_DN18155_c0_g1,11.284,1.408,4.12,3.968,1.629,3.229,1.281,10.311,8.157,10.108,4.609,3.593,0.878,0.814,2.785,3.161,23.131,23.476,17.58,19.89,27.012,9.108,44.449
TRINITY_DN1816_c0_g1,0.632,0.33,0.499,1.031,0.63,1.183,0.57,1.043,0.166,3.648,1.461,1.018,0.678,1.636,0.18,0.647,2.915,1.748,5.295,5.647,4.15,1.936,8.489
TRINITY_DN18160_c0_g1,0.99,0.695,0.829,0.753,0.873,2.413,0.658,0.633,0.359,3.555,1.851,0.732,0.439,0.724,0.49,0.664,3.528,1.424,7.766,3.974,4.867,2.131,12.65
TRINITY_DN18163_c0_g1,73.332,133.177,112.732,86.785,98.514,98.388,96.664,82.045,107.616,76.808,93.642,101.161,77.809,87.95,96.661,81.681,77.786,76.851,59.845,49.582,60.981,77.085,32.194
TRINITY_DN18170_c0_g1,0.477,0.104,0.266,0.548,0.185,0.46,0.561,0.684,0.656,3.303,0.762,0.522,0.431,0.321,0.155,0.257,1.144,0.997,4.757,3.525,6.038,1.699,10.782
TRINITY_DN18191_c0_g1,212.783,312.786,157.777,233.725,209.859,306.823,210.715,198.845,206.637,362.575,209.946,223.082,156.996,205.126,193.248,194.978,435.588,301.164,489.546,404.784,477.06,365.411,733.435
TRINITY_DN1820_c0_g1,1.677,1.261,0.652,1.124,1.192,2.413,0.684,0.718,1.129,5.054,0.662,0.219,0.585,0.214,0.27,0.821,3.365,4.972,6.163,8.884,8.321,4.568,11.298
TRINITY_DN18204_c0_g1,1.063,0.878,0.764,1.106,0.747,1.427,0.605,0.556,0.884,1.313,0.862,0.471,0.701,0.658,0.368,0.224,1.376,0.919,4.664,3.741,5.675,1.031,11.42
TRINITY_DN18205_c0_g1,0.477,0.487,0.499,0.706,0.361,1.54,1.14,0.598,0.823,7.601,2.404,2.92,0.1,0.502,0.58,12.834,3.065,4.208,3.34,4.01,5.15,8.955,5.649
TRINITY_DN18208_c0_g1,0.412,0.156,0.571,0.427,0.319,0.573,0.623,0.453,0.324,1.671,0.635,0.421,0.123,0.206,0.319,0.456,1.281,0.738,2.834,2.931,3.443,1.88,5.938
TRINITY_DN18213_c0_g1,1.457,0.165,0.306,0,0.411,4.412,0.781,0.051,1.085,0.73,2.123,0.143,2.149,1.365,1.446,2.837,2.112,1.334,0.838,0.162,0.818,0.557,0.562
TRINITY_DN18214_c0_g1,2.356,1.182,1.143,1.533,0.924,2.788,0.772,1.573,0.831,3.131,1.914,1.304,1.102,1.891,1.429,1.41,6.839,4.131,6.339,6.007,9.563,2.785,10.509
TRINITY_DN18230_c0_g1,1.045,1.095,0.443,0.362,1.461,0.169,1.693,0.71,1.173,1.884,1.606,0.673,1.571,1.209,0.294,1.02,1.825,0.414,0.631,0.701,3.403,2.535,1.792
TRINITY_DN18232_c0_g1,3.942,4.521,2.824,2.342,1.117,13.536,5.983,4.044,3.405,29.622,3.837,4.443,1.733,13.355,2.662,2.041,11.334,17.921,40.672,57.998,413.827,38.73,59.453
TRINITY_DN18239_c0_g1,1.421,2.921,1.368,0.641,1.411,1.136,0.868,0.581,0.744,0,3.974,2.331,1.756,1.628,1.78,0.722,0,0,2.585,0,0,0,0.121
TRINITY_DN18241_c0_g1,0.477,0.165,0.032,0.372,0.395,0.939,0.518,0.393,0.149,4.815,0.553,0.404,0.1,0.321,0.547,0.1,1.73,2.085,2.172,4.424,1.989,3.691,2.825
TRINITY_DN18242_c0_g3,0,0,1.279,0,0,0,3.298,0,0,0,0.635,0,0,0,0,0.191,0,0,0.259,0,0.172,0,0
TRINITY_DN18244_c0_g1,32.587,28.211,29.225,38.384,22.865,39.136,30.958,24.863,40.855,35.167,20.92,27.407,25.112,31.233,33.075,38.061,35.555,38.354,24.788,17.984,26.254,25.723,19.833
TRINITY_DN18245_c0_g1,0,0,0,0,0,0.122,0.675,0,0,0.08,0,0.109,0.1,0,0.049,0.249,0.095,0.065,1.324,0.108,1.03,0.139,0.532
TRINITY_DN18253_c0_g1,24.447,23.925,23.609,28.795,24.217,22.558,27.274,26.795,27.893,17.564,28.758,29.502,26.013,23.544,24.59,24.489,18.69,25.017,18.366,17.876,18.681,22.352,13.394
TRINITY_DN18254_c0_g1,0,0.391,0.756,0.195,0,0,0.737,0.693,1.357,0.106,0,0,0,0.247,0,0.174,0,0,3.185,0,0,0,0
TRINITY_DN18256_c0_g1,0,0,0,0,0,0,2.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN18272_c0_g1,1.192,0.548,0.338,0.623,0.277,1.08,0.702,0.573,0.761,1.671,1.334,0.791,0.2,0.609,0.294,0.448,0.954,1.127,3.547,3.417,2.767,0.891,7.639
TRINITY_DN18277_c0_g1,2.264,2.182,1.328,0.873,1.898,2.685,1.246,1.573,1.199,6.819,3.302,3.063,1.109,1.587,1.168,1.054,7.111,2.564,14.705,12.841,15.732,5.849,34.472
TRINITY_DN18283_c0_g1,65.944,65.045,69.007,86.051,77.614,67.476,69.601,66.347,81.683,58.435,46.549,60.561,68.58,61.594,64.941,70.175,61.548,71.037,36.732,26.868,45.511,61.96,35.277
TRINITY_DN18286_c0_g1,0.752,0.174,0.298,0.558,0.176,0.751,0.623,0.701,0.359,0.796,0.708,0.648,0.092,0.197,0.253,0.141,1.267,0.699,1.892,2.949,2.121,0.877,2.961
TRINITY_DN18301_c0_g1,2.631,0.617,1.746,0.864,0.294,1.173,1.158,1.71,1.855,6.407,0,1.843,0.978,1.776,2.009,1.576,4.427,3.949,12.678,9.118,9.997,1.323,5.543
TRINITY_DN18301_c0_g2,0.412,0.235,0,0,1.243,1.755,0.579,0,0,2.056,1.941,0,0,0.148,0,0,3.637,0.272,1.075,0,1.101,3.858,23.432
TRINITY_DN18304_c0_g1,2.952,0.27,1.07,3.596,0.546,2.225,0.289,0.872,1.864,7.163,5.561,2.221,0,2.27,0,3.658,12.206,12.327,11.727,17.606,20.307,1.212,13.333
TRINITY_DN18304_c0_g2,11.092,7.12,3.734,10.593,5.66,19.807,5.053,14.407,5.759,18.24,7.902,6.446,7.118,5.46,4.475,6.031,51.331,30.948,51.51,61.631,45.804,23.258,73.713
TRINITY_DN18309_c0_g1,3.841,1.191,0.708,3.289,1.595,4.928,0.93,3.386,1.383,27.022,2.395,2.205,1.587,0.724,4.402,2.124,29.943,13.143,12.906,63.07,7.866,5.139,9.673
TRINITY_DN18316_c0_g1,0.522,0.261,0.129,0.492,0.134,0.366,0.561,0.299,0.42,4.497,0.508,0.463,0.131,0.345,0.082,0.158,1.975,1.58,1.851,4.55,2.11,1.978,2.187
TRINITY_DN18318_c0_g1,0.477,0.435,0.185,0.4,0.311,0.554,0.491,0.342,0.516,1.579,0.689,0.564,0.285,0.461,0.261,0.174,1.294,0.829,1.758,3.201,3.433,1.699,5.285
TRINITY_DN18319_c0_g1,7.022,5.99,0.089,1.849,4.115,4.684,0.728,1.736,0,5.81,8.192,6.782,0,0.428,2.818,1.526,6.471,0,0.652,19.117,10.108,11.211,44.297
TRINITY_DN18319_c0_g2,7.526,2.208,0.692,1.589,2.528,5.463,0.368,1.043,2.083,6.659,13.209,2.684,0.454,1.488,2.189,1.41,10.98,6.164,8.78,14.117,7.583,11.058,23.675
TRINITY_DN18320_c0_g1,1.302,1.269,0.708,1.227,0.974,1.38,1.176,1.565,0.98,0,1.442,2.903,0.863,0.946,2.287,1.775,0.218,0.142,1.448,0.432,0.172,0,0
TRINITY_DN18328_c0_g1,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0
TRINITY_DN1833_c0_g1,0,0.913,0.072,0.455,0,0,0.561,0,0,0,0,0,0,0,0.212,0.158,2.466,0.505,0,2.266,0,0.529,0
TRINITY_DN1833_c0_g2,0.944,0,0.072,0.604,0.781,0.995,0.368,0.188,0.534,1.924,1.034,0.707,0.308,0.683,0.212,0.158,0,0.505,3.65,0.881,4.504,1.546,5.421
TRINITY_DN18331_c0_g1,4.116,1.626,1.722,1.561,1.94,3.276,1.307,2.531,4.306,5.731,2.468,2.701,1.487,1.752,1.225,1.717,16.443,10.048,14.261,13.722,15.248,13.495,45.786
TRINITY_DN18332_c0_g1,0.037,1,0,0,0,3.398,1.035,0.034,0,0,0,0.093,0,0,0.025,0.058,0,0,0,0.18,0.242,0,0
TRINITY_DN18336_c0_g1,6.197,2.026,0.805,2.806,0.731,2.891,1.14,1.171,2.127,62.866,5.153,1.212,0.909,1.192,0.784,1.253,32.79,38.872,8.387,91.305,10.037,61.515,13.789
TRINITY_DN18339_c0_g1,4.702,4.086,2.43,3.531,2.444,5.341,2.834,3.771,3.098,13.067,6.332,3.904,1.957,3.38,2.54,2.655,12.805,8.792,21.355,18.254,26.789,9.944,31.04
TRINITY_DN18340_c0_g1,6.453,1.087,1.183,1.254,1.352,1.22,0.93,4.053,3.378,5.983,2.041,3.164,0.508,0.403,0.907,1.676,11.089,9.608,7.963,4.928,17.368,9.846,10.6
